Company Name,Membership Type,Status,Join Date,Business Type,City
0491812 BC Ltd. DBA G. Byrne Mechanical Contracting,Industry,Active,2024-11-01,Trade Contractor,Kelowna
0902577 BC Ltd dba Roof Doctor,Industry,Active,2017-01-17,Trade Contractor,Kelowna
1309663 BC Ltd dba One72 Concrete,Industry,Active,2023-11-24,Trade Contractor,Kelowna
4 Seasons Drywall,Industry,Active,2025-01-22,Trade Contractor,Kamloops
679692 BC Ltd dba On Call Service Center,Industry,Active,2024-03-12,General Contractor,Clearwater
876 Structures Designz & Construction Ltd,Industry,Active,2023-04-03,General Contractor,Kamloops
A & T Project Developments Inc.,Industry,Active,1999-01-15,General Contractor,Kamloops
ABC Test Co.,Manufacturer & Supplier,Active,1975-09-13,Manufacturer & Supplier,Kelowna
Absolute Contracting,Industry,Active,2019-11-06,General Contractor,Revelstoke
Accent Inns,Associate,Active,2011-08-01,Ancillary Services,Kelowna
Access Countertops Ltd.,Industry,Active,2024-04-11,Trade Contractor,Kamloops
AccessSMT,Manufacturer & Supplier,Active,1976-01-13,Manufacturer & Supplier,Kelowna
Acera Insurance Services Ltd. - Kelowna,Industry,Active,1984-07-01,Insurance & Bonding,Kelowna
Acres Enterprises Ltd.,Industry,Active,1985-09-01,General Contractor,Kamloops
Acutruss Industries (1996) Ltd.,Manufacturer & Supplier,Active,1979-04-11,Manufacturer & Supplier,Vernon
Advanced Powerlines Ltd.,Industry,Active,2010-05-06,Trade Contractor,Kelowna
Aecom Canada Ltd.,Professional,Active,1999-11-13,Professional,Kelowna
AES Engineering,Professional,Active,2023-01-03,Professional,Kelowna
Affordable Floors Ltd.,Industry,Active,2012-05-10,Trade Contractor,Cranbrook
Airfoam Industries,Manufacturer & Supplier,Active,2022-08-18,Manufacturer & Supplier,Surrey
Allmar Inc.,Manufacturer & Supplier,Active,1996-07-19,Manufacturer & Supplier,Kelowna
Alpha Roofing & Sheet Metal (2016) Ltd - Kamloops,Industry,Active,1969-06-01,Trade Contractor,Kamloops
Alpine Civil Engineering Consultants Ltd.,Professional,Active,2022-08-22,Professional,Kelowna
AME Group,Professional,Active,2023-04-04,Professional,Kelowna
Anvil Ironworks Ltd.,Industry,Active,2002-03-12,Trade Contractor,Kamloops
Arcona Roofing & Sheet Metal Ltd.,Industry,Active,1984-07-01,Trade Contractor,Kamloops
Argus Properties Ltd.,Industry,Active,2010-11-18,General Contractor,Kelowna
Arlo Consulting Ltd.,Associate,Active,2023-04-20,Ancillary Services,Vernon
Armada Steel Corp.,Industry,Active,1984-08-01,Trade Contractor,Kelowna
Arrow Project Services Ltd.,Industry,Active,2024-04-05,General Contractor,Kamloops
ASSA ABLOY Entrance Systems Canada Inc dba. Door Systems ASSA ABLOY,Industry,Active,1976-08-01,Trade Contractor,Kelowna
Associated Ready Mix Ltd.,Manufacturer & Supplier,Active,2017-04-21,Manufacturer & Supplier,Armstrong
Aurora Electric Inc. ,Industry,Active,2023-02-03,Trade Contractor,Penticton
Avalanche Exteriors Ltd,Industry,Active,2024-02-09,Trade Contractor,Kelowna
B-Mak Construction Ltd,Industry,Active,2022-09-27,General Contractor,70 Mile House
B.B.C. Stucco & Masonry Ltd.,Industry,Active,2024-03-05,Trade Contractor,Kelowna
